uid,chargetime_mean_wk_1,chargetime_mean_wk_2,chargetime_mean_wk_3,chargetime_mean_wk_4,chargetime_mean_wk_5,chargetime_mean_wk_6,chargetime_mean_wk_7,chargetime_mean_wk_8,chargetime_mean_wk_9,chargetime_mean_wk_10
u32,17860.51948051948,17527.774647887323,17166.3125,16569.105263157893,16323.448979591836,17176.625,16659.542857142857,13824.62962962963,13557.681818181818,11849.818181818182
u33,18050.764705882353,17879.25806451613,17575.235294117647,16974.780487804877,16731.542857142857,16557.44,17845.466666666667,16754.85714285714,,
u34,11849.407407407407,11100.28,11652.3,11514.64705882353,12206.357142857143,11263.0,11486.888888888889,11655.57142857143,10283.333333333334,16329.0
u35,14591.785714285714,13931.410256410256,13438.142857142857,13357.21875,13106.857142857143,11670.0,11318.666666666666,12323.933333333332,11260.636363636364,9155.714285714286
u36,18465.095238095237,18320.147540983606,17912.555555555555,17815.918367346938,17718.18604651163,17440.864864864863,18024.10714285714,18092.85714285714,17979.46153846154,16064.0
u39,22789.0,22789.0,,,,,,,,
u41,12898.711538461539,12641.69387755102,12696.68085106383,11530.425,11483.378378378378,12953.952380952382,12650.578947368422,12880.285714285714,10570.75,14122.666666666666
u42,16639.0,16639.0,16758.576923076922,15945.142857142857,14595.125,13855.25,12861.111111111111,23240.666666666668,34259.0,
u43,12192.971014492754,12192.971014492754,11280.38596491228,10038.244897959185,9349.977272727272,9036.42857142857,10160.52,8011.333333333333,8522.857142857143,8553.42857142857
u44,10634.0,10634.0,11158.441860465116,10894.052631578947,10577.34375,10048.045454545454,9725.70588235294,9625.615384615385,10315.57142857143,8368.5
u45,11594.245614035088,11594.245614035088,11554.98,11420.1,11496.764705882353,9676.777777777777,8796.5,9365.5625,10045.363636363636,7798.0
u46,16642.202898550724,16942.388059701494,16957.98181818182,17078.333333333332,18037.875,18677.72,22223.75,21412.8,24332.5,
u47,11525.372881355932,11873.418181818182,12297.78431372549,11424.431818181818,11945.79411764706,12268.866666666667,13478.173913043478,13451.57142857143,13484.117647058823,11139.8
u49,9844.877551020409,10133.757352941177,10029.173553719009,10168.271844660194,10104.16091954023,10527.756756756757,10527.756756756757,10563.128571428571,10924.387755102041,11721.952380952382
u50,13540.185185185184,14306.5,12144.894736842105,12848.133333333333,13414.454545454546,14557.5,14557.5,11593.5,4403.0,4403.0
u51,23949.30909090909,24172.2,23801.37777777778,22718.894736842107,22226.242424242424,21474.48275862069,21350.25,25089.333333333332,24679.9,21969.5
u52,13734.575757575758,13547.703125,12966.948275862069,11328.16,11135.978260869566,10793.5,11569.029411764706,12842.807692307691,13914.35294117647,11893.25
u53,14553.34693877551,14656.522727272728,14481.314285714287,13675.064516129032,13432.793103448275,14560.52380952381,18107.416666666668,16415.166666666668,5130.5,4312.0
u54,10801.69696969697,10389.081967213115,9880.814814814816,10099.34090909091,10243.64705882353,10004.40909090909,7811.666666666667,6708.0,6708.0,6708.0
u56,16679.102564102563,17991.9375,22091.571428571428,21336.055555555555,20013.333333333332,22366.384615384617,22708.777777777777,22708.777777777777,22039.5,20496.0
u57,15452.284403669724,14991.871287128713,15070.065217391304,14808.506172839507,14095.112676056338,14291.807017543859,15676.295454545454,15148.40625,14673.952380952382,11849.545454545454
u58,20298.316666666666,19743.666666666668,19496.98,20255.878048780487,21205.939393939392,21559.59259259259,23037.380952380954,24088.428571428572,24064.555555555555,20142.0
u59,11456.72077922078,11284.83448275862,11258.215384615385,10838.401709401709,10584.049504950495,11072.692307692309,10702.854838709678,10762.020833333334,11832.931034482759,12983.461538461539
