uid,locktime_mean_wk_1,locktime_mean_wk_2,locktime_mean_wk_3,locktime_mean_wk_4,locktime_mean_wk_5,locktime_mean_wk_6,locktime_mean_wk_7,locktime_mean_wk_8,locktime_mean_wk_9,locktime_mean_wk_10
u30,13422.572033898305,13709.361502347418,14168.251461988304,14346.20588235294,15119.557894736841,15916.732394366198,15777.298245614034,15607.439024390244,14484.529411764706,13891.3125
u31,7803.514423076923,7796.0,7759.614942528736,7807.785714285715,8014.19708029197,8504.058252427185,9069.144927536232,9506.541666666666,8973.444444444445,7821.222222222223
u32,12776.622807017544,12599.067632850241,12720.972375690608,12892.078431372549,13288.75590551181,13862.432989690722,13626.296296296296,12472.666666666666,11504.371428571429,10734.57142857143
u33,10328.306451612903,10213.788235294118,10005.802721088436,9845.585365853658,10393.285714285714,10373.6,10487.232142857143,11192.380952380952,7821.0,7821.0
u34,13038.45,12189.5625,11464.764705882353,10498.6,9966.083333333334,9966.083333333334,10470.181818181818,11354.25,4971.666666666667,4971.666666666667
u35,12577.971153846154,12607.32183908046,12785.65,12796.195652173914,13507.6,13244.76,14193.166666666666,13733.90909090909,12430.714285714286,11146.8
u36,9684.882882882883,9624.591194968554,9659.96797153025,9677.103305785124,9668.073170731708,9804.709302325582,9869.43661971831,10018.02,10160.46875,10217.708333333334
u39,10640.692307692309,10205.833333333334,11511.42857142857,12746.333333333334,9183.5,,,,,
u41,14247.661764705883,15000.32142857143,14500.739130434782,14579.709677419354,15401.695652173914,16429.222222222223,14794.6875,13889.1,14231.25,18969.5
u42,12092.765306122448,12092.765306122448,12586.686567164179,13260.686274509804,12774.675,14262.266666666666,14817.59090909091,15871.5,15945.0,
u43,12356.67901234568,12356.67901234568,12316.211678832116,12271.875,12512.09090909091,14092.842105263158,15379.944444444445,14764.333333333334,13810.333333333334,7921.714285714285
u44,11237.795555555556,11237.795555555556,11403.59595959596,11459.877300613496,11257.873134328358,10990.326732673268,11732.289855072464,12523.075471698114,14497.724137931034,15488.6
u45,10126.070652173914,10126.070652173914,10267.62091503268,10142.472,10047.09090909091,10152.680412371134,9947.068965517241,10375.434782608696,11266.611111111111,13355.666666666666
u46,9354.073170731708,9388.865030674846,9407.178861788618,9602.08510638298,9870.194444444445,10386.75925925926,10202.463414634147,11035.263157894737,9982.2,
u47,11501.105882352942,10784.705128205129,10753.643835616438,10554.442622950819,10835.893617021276,10274.279069767443,10384.794871794871,10228.815789473685,10452.8,12842.0
u49,8215.42652329749,8199.98880597015,8142.602510460251,8207.3732718894,8233.089552238805,8383.108571428571,8613.122580645162,8873.404761904761,9035.72,8354.171428571428
u50,11658.376237623763,11648.931818181818,11488.835820895523,12363.645833333334,11069.34375,9241.6875,9241.6875,5430.818181818182,4761.5,4761.5
u51,12287.465189873417,12373.235494880546,12462.78125,12614.193548387097,12897.016216216216,12641.486666666666,12384.816666666668,12335.408602150537,11843.079365079366,12652.153846153846
u52,9335.050632911392,9305.615384615385,9547.92885375494,9799.402912621359,9810.983050847457,9844.786206896551,10160.772727272728,10733.55,10939.5,9709.4
u53,12065.896265560166,12200.931506849314,12384.255208333334,12154.182352941176,12136.704225352112,12552.537735849057,13965.623376623376,13968.31914893617,13422.04347826087,16439.30769230769
u54,8722.345454545455,8606.713333333333,8162.261538461538,7807.279569892473,7522.846153846154,8127.484848484848,8730.363636363636,9091.75,9091.75,9091.75
u56,13267.39416058394,13448.106557377048,14872.102040816326,15439.464788732394,15360.267857142857,16098.447368421053,17068.75,17068.75,18665.923076923078,18616.285714285714
u57,8686.996575342466,8665.136029411764,8791.60759493671,8713.044776119403,8731.660606060606,8603.698529411764,8397.117117117117,8332.088607594937,8297.56,7345.346153846154
u58,12035.744360902256,12258.73949579832,12313.103773584906,12384.66489361702,12801.388535031847,13243.024,14167.44,13886.891891891892,14600.5,13276.916666666666
u59,10468.089655172414,10328.2734375,10485.168421052631,10321.556962025317,10176.285714285714,10352.94642857143,10351.333333333334,10094.620689655172,11526.0,12752.111111111111
